customer_id,city,state,country
80451,San Diego,CA,United States
80769,Califon,NJ,United States
80915,San Francisco,ca,United States
81005,Kuala Lumpur,Wilayah,Malaysia
81141,Sherman Oaks,CA,United States
81180,Magnolia,TX,United States
81279,Alexandria,VA,United States
81427,South Lyon,Michigan,United States
81870,Addison,TX,United States
81925,Hermosa beach,Ca,United States
82080,East Brunswick,NJ,United States
82047,Irving,Texas,United States
82517,Kent,Wa,United States
82599,Norristown,PA,United States
82801,Monaca,PA,United States
82970,London,-,United Kingdom
82967,Edmonton,AB,United States
80107,Ardrossen,Alberta,Canada
80159,Miami,Florida,United States
80119,Winnipeg,manitoba,Canada
80200,Denver,CO,United States
80265,Weehawken,NJ,United States
80020,Petrie Terrace,Queensland,Australia
80420,London,London,United Kingdom
80509,San Diego,California,United States
80700,Ocala,FL,United States
80797,Seattle,Wa,United States
80845,Grandville,MI,United States
84251,Cremorne,NSW,Australia
84069,Citrus Heights,CA,United States
84410,Secunderabad,Telangana,India
84511,San Jose,CA,United States
84707,Pembroke Pines,FL,United States
85017,Hong Kong,NA,Hong Kong
85151,Woodland Hills - Utah,UTAH,United States
85141,Madison,MS,United States
85147,Augsburg,Bayern,Germany
85299,Sunnyside,NY,United States
85529,North Hollywood,CA,United States
85861,Glendale,California,United States
86100,Alexandria,VA,United States
86205,Buffalo Grove,IL,United States
86177,Riverside,CT,United States
86165,Colorado springs,co,United States
86151,Columbus,INDIANA,United States
86101,Surry Hills,NSW,Australia
86025,Medford,Oregon,United States
86477,New Cumberland,Pa,United States
86415,New York,New York,United States
86001,Highland Village,TX,United States
86680,Winter Haven,Florida,United States
86665,Coto de Caza,CA,United States
87110,Dublin,Dublin,Ireland
86955,Portland,Or,United States
87009,Lucerne,Lucerne,Switzerland
87025,Bronx,New York,United States
87575,Castro Valley,ca,United States
87565,Damascus,MD,United States
87827,Morgan hill,ca,United States
88029,Keeling,VA,United States
87891,Brussels,Brussels,Belgium
88070,Irvine,CALIFORNIA,United States
88289,San Marcos,CA,United States
88081,Washington,DC,United States
88497,Suwanee,GA,United States
88485,Edison,New Jersey,United States
88770,Bakersfield,Ca,United States
88709,Laguna Hills,CA,United States
88901,Highlands Ranch,CO,United States
88849,Osaka,osaka fu,Japan
