customer_id,productid,purchaseDate
48001,1110,2016-02-24 23:05:28
48001,1370,2016-02-24 23:13:06
10697,1110,2016-02-24 23:15:10
82207,1140,2016-02-24 23:15:12
1600,1110,2016-02-24 23:23:00
1607,1110,2016-02-24 23:23:29
46560,1110,2016-02-25 00:19:29
46560,1370,2016-02-25 00:21:53
46560,1070,2016-02-25 00:27:19
78825,1110,2016-02-25 00:38:23
75749,1370,2016-02-25 06:58:46
80811,1370,2016-02-25 07:47:39
2517,1110,2016-02-25 08:17:18
40989,1260,2016-02-25 08:56:46
27929,1110,2016-02-25 11:12:26
10467,1230,2016-02-25 11:19:57
85890,1370,2016-02-25 11:44:44
60587,1110,2016-02-25 12:20:13
75921,1110,2016-02-25 12:20:44
78909,1110,2016-02-25 12:21:51
71909,1370,2016-02-25 14:49:17
98087,1110,2016-02-25 15:19:04
14420,1110,2016-02-25 19:24:31
4580,1080,2016-02-25 19:24:46
95461,1370,2016-02-25 21:13:41
90510,1370,2016-02-25 22:43:56
85790,1370,2016-02-25 23:22:04
82995,1370,2016-02-25 23:26:52
80067,1370,2016-02-25 23:29:19
1190,1080,2016-02-25 23:41:21
1190,1070,2016-02-25 23:44:13
74755,1110,2016-02-26 00:49:30
28960,1110,2016-02-26 04:56:51
92020,1110,2016-02-26 08:33:28
6707,1110,2016-02-26 10:03:55
47551,1110,2016-02-26 11:17:33
7197,1110,2016-02-26 12:33:24
7197,1370,2016-02-26 12:35:02
70971,1110,2016-02-26 13:45:52
70971,1370,2016-02-26 13:57:22
